participant_id,window_start,expert_state,expert_action,expert_prompt_type,expert_rule,attention_label,attention_confidence,action_label,action_confidence,performance_label,performance_confidence,population_label,population_confidence,disagreement_type,dominant_tension,disagreement_intensity,suggested_support,support_category,support_rationale,io_category,expert_category
1,0.1016993,Explore,NONE,,PHASE_EXPLORE,searching,0.825,hesitant,0.75,progressing,0.9,exploring,0.396,contradictory,scattered_but_progressing,0.863,wait,watch,Actively searching during transition — likely exploring.,watch,watch
1,5.010511,Explore,NONE,,PHASE_EXPLORE,searching,0.936,inactive,0.752,progressing,0.488,exploring,0.511,contradictory,scanning_but_passive,0.844,wait,watch,Actively searching during transition — likely exploring.,watch,watch
1,10.0059112,Explore,NONE,,PHASE_EXPLORE,searching,0.95,inactive,0.752,progressing,0.488,exploring,0.536,contradictory,scanning_but_passive,0.851,wait,watch,Actively searching during transition — likely exploring.,watch,watch
1,15.0011804,PossiblyStuck,NONE,,PHASE_POSSIBLYSTUCK,searching,0.727,hesitant,0.375,progressing,0.9,exploring,0.299,contradictory,scattered_but_progressing,0.814,wait,watch,Actively searching during transition — likely exploring.,watch,watch
1,20.0129621,PossiblyStuck,NONE,,PHASE_POSSIBLYSTUCK,searching,0.95,hesitant,0.75,progressing,0.9,exploring,0.713,contradictory,scattered_but_progressing,0.925,wait,watch,Actively searching during transition — likely exploring.,watch,watch
1,25.0121404,PossiblyStuck,NONE,,PHASE_POSSIBLYSTUCK,searching,0.945,hesitant,0.75,progressing,0.9,exploring,0.587,contradictory,scattered_but_progressing,0.922,wait,watch,Actively searching during transition — likely exploring.,watch,watch
1,30.0052047,PossiblyStuck,NONE,,PHASE_POSSIBLYSTUCK,searching,0.95,inactive,0.446,stalled,0.413,exploring,0.665,contradictory,scanning_but_passive,0.698,wait,watch,Actively searching during transition — likely exploring.,watch,watch
1,35.0032547,PossiblyStuck,NONE,,PHASE_POSSIBLYSTUCK,searching,0.95,inactive,0.765,stalled,0.413,exploring,0.497,contradictory,scanning_but_passive,0.857,wait,watch,Actively searching during transition — likely exploring.,watch,watch
1,40.0012136,PossiblyStuck,NONE,,PHASE_POSSIBLYSTUCK,searching,0.95,hesitant,0.75,progressing,0.75,exploring,0.549,contradictory,scattered_but_progressing,0.85,wait,watch,Actively searching during transition — likely exploring.,watch,watch
1,45.0003627,Solving,PROMPT,R,ESCALATION,searching,0.874,active,0.652,progressing,0.75,exploring,0.45,contradictory,scattered_but_progressing,0.812,wait,watch,Actively searching during transition — likely exploring.,watch,probe
